OTUs,Domain,Phylum,Class,Order,Family,Genus,Species
16458,PC(O-16:1/0:0); [M+H]+ C24H51N1O6P1,PC(O-16:1/0:0); [M+H]+ C24H51N1O6P1,PC(O-16:1/0:0); [M+H]+ C24H51N1O6P1,PC(O-16:1/0:0); [M+H]+ C24H51N1O6P1,PC(O-16:1/0:0); [M+H]+ C24H51N1O6P1,PC(O-16:1/0:0); [M+H]+ C24H51N1O6P1,6549
19765,PC(O-18:1/0:0); [M+H]+ C26H55N1O6P1,PC(O-18:1/0:0); [M+H]+ C26H55N1O6P1,PC(O-18:1/0:0); [M+H]+ C26H55N1O6P1,PC(O-18:1/0:0); [M+H]+ C26H55N1O6P1,PC(O-18:1/0:0); [M+H]+ C26H55N1O6P1,PC(O-18:1/0:0); [M+H]+ C26H55N1O6P1,6550
637,"Phenol, 5-(1,1-dimethyloctyl)-2-[(1S,3S)-3-hydroxycyclohexyl]-","Phenol, 5-(1,1-dimethyloctyl)-2-[(1S,3S)-3-hydroxycyclohexyl]-","Phenol, 5-(1,1-dimethyloctyl)-2-[(1S,3S)-3-hydroxycyclohexyl]-","Phenol, 5-(1,1-dimethyloctyl)-2-[(1S,3S)-3-hydroxycyclohexyl]-","Phenol, 5-(1,1-dimethyloctyl)-2-[(1S,3S)-3-hydroxycyclohexyl]-","Phenol, 5-(1,1-dimethyloctyl)-2-[(1S,3S)-3-hydroxycyclohexyl]-",6551
21709,Phenylalanocholic acid,Phenylalanocholic acid,Phenylalanocholic acid,Phenylalanocholic acid,Phenylalanocholic acid,Phenylalanocholic acid,6552
323,Phytomonic acid,Phytomonic acid,Phytomonic acid,Phytomonic acid,Phytomonic acid,Phytomonic acid,6553
324,Phytomonic acid,Phytomonic acid,Phytomonic acid,Phytomonic acid,Phytomonic acid,Phytomonic acid,6554
15,Pinosylvin,Pinosylvin,Pinosylvin,Pinosylvin,Pinosylvin,Pinosylvin,6555
8360,"Pregnan-20-one, 17-(acetyloxy)-3-hydroxy-6-methyl-, (3a,5b,6a)-","Pregnan-20-one, 17-(acetyloxy)-3-hydroxy-6-methyl-, (3a,5b,6a)-","Pregnan-20-one, 17-(acetyloxy)-3-hydroxy-6-methyl-, (3a,5b,6a)-","Pregnan-20-one, 17-(acetyloxy)-3-hydroxy-6-methyl-, (3a,5b,6a)-","Pregnan-20-one, 17-(acetyloxy)-3-hydroxy-6-methyl-, (3a,5b,6a)-","Pregnan-20-one, 17-(acetyloxy)-3-hydroxy-6-methyl-, (3a,5b,6a)-",6556
8437,"Pregnan-20-one, 17-(acetyloxy)-3-hydroxy-6-methyl-, (3a,5b,6a)-","Pregnan-20-one, 17-(acetyloxy)-3-hydroxy-6-methyl-, (3a,5b,6a)-","Pregnan-20-one, 17-(acetyloxy)-3-hydroxy-6-methyl-, (3a,5b,6a)-","Pregnan-20-one, 17-(acetyloxy)-3-hydroxy-6-methyl-, (3a,5b,6a)-","Pregnan-20-one, 17-(acetyloxy)-3-hydroxy-6-methyl-, (3a,5b,6a)-","Pregnan-20-one, 17-(acetyloxy)-3-hydroxy-6-methyl-, (3a,5b,6a)-",6557
9186,Pro Phe His,Pro Phe His,Pro Phe His,Pro Phe His,Pro Phe His,Pro Phe His,6558
552,R-Palmitoyl-(2-methyl) ethanolamide,R-Palmitoyl-(2-methyl) ethanolamide,R-Palmitoyl-(2-methyl) ethanolamide,R-Palmitoyl-(2-methyl) ethanolamide,R-Palmitoyl-(2-methyl) ethanolamide,R-Palmitoyl-(2-methyl) ethanolamide,6559
19,"ReSpect:PT110060 D-Pantothenic acid hemicalcium salt|Vitamin B5|D-Pantothenic Acid|(R)-Pantothenate|(R)-(+)-N-(2,4-Dihydroxy-3,3-dimethyl-1-oxobutyl)-beta-alanine|3-[[(2R)-2,4-dihydroxy-3,3-dimethylbutanoyl]amino]prop","ReSpect:PT110060 D-Pantothenic acid hemicalcium salt|Vitamin B5|D-Pantothenic Acid|(R)-Pantothenate|(R)-(+)-N-(2,4-Dihydroxy-3,3-dimethyl-1-oxobutyl)-beta-alanine|3-[[(2R)-2,4-dihydroxy-3,3-dimethylbutanoyl]amino]prop","ReSpect:PT110060 D-Pantothenic acid hemicalcium salt|Vitamin B5|D-Pantothenic Acid|(R)-Pantothenate|(R)-(+)-N-(2,4-Dihydroxy-3,3-dimethyl-1-oxobutyl)-beta-alanine|3-[[(2R)-2,4-dihydroxy-3,3-dimethylbutanoyl]amino]prop","ReSpect:PT110060 D-Pantothenic acid hemicalcium salt|Vitamin B5|D-Pantothenic Acid|(R)-Pantothenate|(R)-(+)-N-(2,4-Dihydroxy-3,3-dimethyl-1-oxobutyl)-beta-alanine|3-[[(2R)-2,4-dihydroxy-3,3-dimethylbutanoyl]amino]prop","ReSpect:PT110060 D-Pantothenic acid hemicalcium salt|Vitamin B5|D-Pantothenic Acid|(R)-Pantothenate|(R)-(+)-N-(2,4-Dihydroxy-3,3-dimethyl-1-oxobutyl)-beta-alanine|3-[[(2R)-2,4-dihydroxy-3,3-dimethylbutanoyl]amino]prop","ReSpect:PT110060 D-Pantothenic acid hemicalcium salt|Vitamin B5|D-Pantothenic Acid|(R)-Pantothenate|(R)-(+)-N-(2,4-Dihydroxy-3,3-dimethyl-1-oxobutyl)-beta-alanine|3-[[(2R)-2,4-dihydroxy-3,3-dimethylbutanoyl]amino]prop",6560
534,Ricinoleic Acid methyl ester,Ricinoleic Acid methyl ester,Ricinoleic Acid methyl ester,Ricinoleic Acid methyl ester,Ricinoleic Acid methyl ester,Ricinoleic Acid methyl ester,6561
21940,Schaftoside,Schaftoside,Schaftoside,Schaftoside,Schaftoside,Schaftoside,6562
26998,Soyasaponin I,Soyasaponin I,Soyasaponin I,Soyasaponin I,Soyasaponin I,Soyasaponin I,6563
27093,Soyasaponin I,Soyasaponin I,Soyasaponin I,Soyasaponin I,Soyasaponin I,Soyasaponin I,6564
12816,Soyaspongenol C,Soyaspongenol C,Soyaspongenol C,Soyaspongenol C,Soyaspongenol C,Soyaspongenol C,6565
5820,Spectral Match to (-)-Riboflavin from NIST14,Spectral Match to (-)-Riboflavin from NIST14,Spectral Match to (-)-Riboflavin from NIST14,Spectral Match to (-)-Riboflavin from NIST14,Spectral Match to (-)-Riboflavin from NIST14,Spectral Match to (-)-Riboflavin from NIST14,6566
16573,Spectral Match to 1-(1Z-Hexadecenyl)-sn-glycero-3-phosphocholine from NIST14,Spectral Match to 1-(1Z-Hexadecenyl)-sn-glycero-3-phosphocholine from NIST14,Spectral Match to 1-(1Z-Hexadecenyl)-sn-glycero-3-phosphocholine from NIST14,Spectral Match to 1-(1Z-Hexadecenyl)-sn-glycero-3-phosphocholine from NIST14,Spectral Match to 1-(1Z-Hexadecenyl)-sn-glycero-3-phosphocholine from NIST14,Spectral Match to 1-(1Z-Hexadecenyl)-sn-glycero-3-phosphocholine from NIST14,6567
19786,Spectral Match to 1-(1Z-Octadecenyl)-sn-glycero-3-phosphocholine from NIST14,Spectral Match to 1-(1Z-Octadecenyl)-sn-glycero-3-phosphocholine from NIST14,Spectral Match to 1-(1Z-Octadecenyl)-sn-glycero-3-phosphocholine from NIST14,Spectral Match to 1-(1Z-Octadecenyl)-sn-glycero-3-phosphocholine from NIST14,Spectral Match to 1-(1Z-Octadecenyl)-sn-glycero-3-phosphocholine from NIST14,Spectral Match to 1-(1Z-Octadecenyl)-sn-glycero-3-phosphocholine from NIST14,6568
19835,Spectral Match to 1-Heptadecanoyl-sn-glycero-3-phosphocholine from NIST14,Spectral Match to 1-Heptadecanoyl-sn-glycero-3-phosphocholine from NIST14,Spectral Match to 1-Heptadecanoyl-sn-glycero-3-phosphocholine from NIST14,Spectral Match to 1-Heptadecanoyl-sn-glycero-3-phosphocholine from NIST14,Spectral Match to 1-Heptadecanoyl-sn-glycero-3-phosphocholine from NIST14,Spectral Match to 1-Heptadecanoyl-sn-glycero-3-phosphocholine from NIST14,6569
20306,Spectral Match to 1-Hexadecanoyl-sn-glycero-3-phosphocholine from NIST14,Spectral Match to 1-Hexadecanoyl-sn-glycero-3-phosphocholine from NIST14,Spectral Match to 1-Hexadecanoyl-sn-glycero-3-phosphocholine from NIST14,Spectral Match to 1-Hexadecanoyl-sn-glycero-3-phosphocholine from NIST14,Spectral Match to 1-Hexadecanoyl-sn-glycero-3-phosphocholine from NIST14,Spectral Match to 1-Hexadecanoyl-sn-glycero-3-phosphocholine from NIST14,6570
