"","rowid","taxa_id","x","y","zero_ind","Metabolite","W.proportion"
"1",1,"212",-2.27818953698113,18,"Yes","7-Keto-3.alpha.,12-.alpha.-dihydroxycholanic acid",1
"2",2,"33",-1.4060766066793,18,"Yes","Spectral Match to Urobilin from NIST14",1
"3",3,"131",1.31365014058345,18,"Yes","PC(O-16:1/0:0); [M+H]+ C24H51N1O6P1",1
"4",4,"108",1.18529991073126,18,"Yes","Spectral Match to 1-Pentadecanoyl-sn-glycero-3-phosphocholine from NIST14",1
"5",5,"133",1.11358069880246,18,"Yes","PC(0:0/18:0); [M+H]+ C26H55N1O7P1",1
"6",6,"127",1.09597676629498,18,"Yes","Phytomonic acid",1
"7",7,"113",1.09412109381552,18,"Yes","Spectral Match to 1-Myristoyl-sn-glycero-3-phosphocholine from NIST14",1
"8",8,"116",-0.917758421946728,18,"Yes","Spectral Match to 1-Hexadecanoyl-sn-glycero-3-phosphocholine from NIST14",1
"9",9,"117",0.853861643972145,18,"Yes","Spectral Match to 1-Heptadecanoyl-sn-glycero-3-phosphocholine from NIST14",1
"10",10,"132",0.848837504182538,18,"Yes","PC(16:1/0:0); [M+H]+ C24H49N1O7P1",1
"11",11,"17",0.752328583894932,18,"Yes","Trp-Pro",1
"12",12,"214",0.680664220449138,18,"Yes","4.alpha./.beta.-Hydroxyprostanozol",1
"13",13,"167",0.662389084356544,18,"Yes","Medicagenic acid",1
"14",14,"239",-0.64563804769843,18,"Yes","1-Hexadecyl-sn-glycero-3-phosphocholine",1
"15",15,"186",-0.617523627426783,18,"Yes","cis-4,10,13,16-Docosatetraenoic acid",1
"16",16,"208",-0.600941991311124,18,"Yes","Bacosine",1
"17",17,"219",0.566326179856654,18,"Yes","3.beta.-Hydroxy-5-cholestenoic acid",1
"18",18,"183",-0.494298607911529,18,"Yes","cis-Vaccenic acid",1
"19",19,"218",0.475586991084062,18,"Yes","4-Cholestenone",1
"20",20,"181",0.455934661598793,18,"Yes","Coproporphyrin I",1
"21",21,"205",-0.435495927794487,18,"Yes","Caulophyllogenin",1
"22",22,"28",-0.409714693385197,18,"Yes","Sumaresinolic acid",1
"23",23,"35",0.38841203984908,18,"Yes","Spectral Match to Urobilin from NIST14",1
"24",24,"168",-0.363243987473104,18,"Yes","Linoleic acid methyl ester",1
"25",25,"90",0.352717593667334,18,"Yes","Spectral Match to 9,10-Dihydroxy-12Z-octadecenoic acid from NIST14",1
"26",26,"14",0.329660104413195,18,"Yes","Urobilin",1
"27",27,"228",0.262212203272493,18,"Yes","25(S)-26-Hydroxycholesterol",1
