,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
s_Burkholderia_pyrrocinia,228.01903708258,0.398634631451987,0.0979001313156785,4.07184981362887,4.66412501885528e-05,0.165063384417288
s_uncultured_bacterium_BAC25G1,28885.2756112912,1.26146606489076,0.350531731657489,3.59872145932673,0.000319785469349353,0.176955702512101
s_Desulfovibrio_vulgaris,5238.10649756757,0.219668560710535,0.0625677036110939,3.51089376838797,0.000446602831136082,0.176955702512101
s_Lactobacillus_gasseri,3605.88484565479,-1.36173496020759,0.394119197333905,-3.45513481560733,0.000550017724677343,0.176955702512101
s_Rhizobium_sp._NT-26,568.010453343283,0.235691304526767,0.0658915951095185,3.57695551511576,0.00034761930314002,0.176955702512101
s_Aerococcus_urinaeequi,467.088155114971,-0.361935765920695,0.10430652805772,-3.46992439169686,0.000520604892075304,0.176955702512101
s_Leuconostoc_gelidum,428.628835444886,-0.651008617995577,0.188035900452956,-3.46215066605566,0.000535877075876171,0.176955702512101
s_Edwardsiella_sp._EA181011,359.075293565072,0.305000423711803,0.0881717502524081,3.45916263246088,0.00054185761846658,0.176955702512101
s_Lachnospiraceae_bacterium_14-2,99.1829096247048,-2.15108533757448,0.617651975113943,-3.48268187303643,0.0004964178937061,0.176955702512101
s_uncultured_bacterium_Contigcl_1787,99.5525909220438,-1.38898630084615,0.392164031898872,-3.54185031738028,0.000397330871409238,0.176955702512101
s_Streptomyces_antibioticus,78.3693880365544,0.672788401925096,0.187227455988893,3.59342810258025,0.00032635573017756,0.176955702512101
s_Akkermansia_muciniphila,48867.4546179327,-2.89651281558583,0.852129921515325,-3.39914459339137,0.000675969696486164,0.199354729655378
s_Pseudodesulfovibrio_profundus,848.49910092215,0.217441368588304,0.0664050376881737,3.27447097627397,0.0010586001301836,0.288183527747673
s_Bacteroides_caecimuris,423441.453983523,0.648080883330384,0.275803953873374,2.34978822539987,0.0187840948847625,0.313474285340487
s_Bacteroides_fragilis,75775.7033207083,0.578792171814068,0.268907703890386,2.15238226142453,0.0313672596344175,0.313474285340487
s_Bacteroides_thetaiotaomicron,70205.595261917,0.649877865349236,0.253732299914867,2.56127369502143,0.0104289160967281,0.313474285340487
s_Bacteroides_ovatus,55907.0775888938,0.592917732800453,0.275695408152408,2.15062607235257,0.031505725725233,0.313474285340487
s_Bacteroides_caccae,56364.0174203043,0.685122442249433,0.263473583750944,2.60034585819072,0.00931298470842292,0.313474285340487
s_Lactobacillus_reuteri,53112.4934549526,-1.14542733425228,0.534460494422526,-2.14314686717845,0.0321013071467865,0.313474285340487
s_uncultured_murine_large_bowel_bacterium_BAC_54B,15881.696477275,0.816031979191362,0.360714110774322,2.26226797016518,0.0236808520869247,0.313474285340487
s_Pseudomonas_fluorescens_group,15996.681119028,0.121745902909133,0.0576709434190952,2.11104406640974,0.0347685243877199,0.313474285340487
s_Lactobacillus_johnsonii,8632.55377733559,-1.27150575692825,0.509290934236354,-2.49661965578631,0.012538335944005,0.313474285340487
s_Mucinivorans_hirudinis,7174.32261376522,0.56064113428455,0.268015340478138,2.09182479362699,0.0364541915977235,0.313474285340487
s_Pseudomonas_stutzeri_group,6400.47683054844,0.178223090424188,0.0858924181601568,2.07495718762824,0.0379905027932872,0.313474285340487
s_Pseudomonas_putida,6278.68212556526,0.140999405432751,0.0659648393673173,2.13749334926161,0.0325578860842901,0.313474285340487
s_Pseudomonas_fluorescens,6129.56763723138,0.214233001340927,0.0812066965768055,2.63811988877426,0.0083367102875883,0.313474285340487
s_Hymenobacter_sp._APR13,5867.65247596758,0.495888113982471,0.238961491216268,2.07518002778815,0.0379698529334138,0.313474285340487
s_Rhizobium_leguminosarum,5652.96141122137,0.134638977554825,0.0630277443947897,2.13618587889613,0.0326642659858409,0.313474285340487
s_Pseudomonas_stutzeri_subgroup,5151.13835479554,0.212643705164927,0.0964076236677123,2.20567313118147,0.0274068945149886,0.313474285340487
s_Pseudomonas_stutzeri,5151.04843635986,0.212756966963869,0.0964123338623171,2.20674013832815,0.0273322193239478,0.313474285340487
s_Rhodopseudomonas_palustris,4680.18722293163,0.214741222934665,0.09034616994318,2.37687135016037,0.017460176563886,0.313474285340487
s_Ralstonia_solanacearum,4215.14580064236,0.205506233167357,0.0932699353319085,2.20334915464503,0.0275701489358451,0.313474285340487
s_Mycobacterium_chelonae_group,3942.14651882611,0.201855512266594,0.0877595095065889,2.30009845544361,0.0214426427727299,0.313474285340487
s_Ornithobacterium_rhinotracheale,3933.30811114485,0.734075670990121,0.272445687829569,2.69439269469858,0.00705170285921557,0.313474285340487
s_Pontibacter_actiniarum,3564.65335034259,0.47535774143432,0.214066210670814,2.22061080982703,0.0263773330126763,0.313474285340487
s_Ruminococcus_albus,3802.93719234855,-0.487631531821794,0.193734023941283,-2.51701545191455,0.0118353638502906,0.313474285340487
s_Ruminococcus_bicirculans,3848.98210600919,-0.52426132705444,0.199056234944987,-2.6337347694702,0.00844514292020829,0.313474285340487
s_Variovorax_paradoxus,3158.04753532653,0.273117700373213,0.127823036049726,2.13668606859693,0.0326235338736935,0.313474285340487
s_Capnocytophaga_haemolytica,3173.78881734608,0.435300435099571,0.211001706836486,2.06301854911962,0.0391108658656855,0.313474285340487
s_Bacteroidales_bacterium_CF,3237.61027813952,0.534090130394691,0.253575246901557,2.10623922058936,0.0351835778786598,0.313474285340487
s_Rhodothermaceae_bacterium_RA,2990.38637533595,0.365201452660767,0.162481155298234,2.2476542094401,0.0245982479899607,0.313474285340487
s_Akkermansia_glycaniphila,2869.14411401255,0.459778826174803,0.215047705838688,2.13803176547111,0.0325141651864464,0.313474285340487
s_Ralstonia_pickettii,2651.13635640787,0.325625409621804,0.142359751461766,2.2873417962468,0.0221758806948861,0.313474285340487
s_Desulfovibrio_magneticus,2497.64589950606,0.140876663595547,0.0474690735914935,2.96775675059292,0.00299981628219539,0.313474285340487
s_Streptomyces_lydicus,2433.6718205372,0.118678913622386,0.0560150387105896,2.11869734189704,0.0341160531368294,0.313474285340487
s_Runella_slithyformis,2156.54254883612,0.490586946983803,0.211391477803959,2.32075082723422,0.0203002957968498,0.313474285340487
s_Agrobacterium_tumefaciens_complex,2228.92082490276,0.153277456613763,0.068031211516851,2.25304611216275,0.0242562416555138,0.313474285340487
s_Chlorobaculum_limnaeum,2041.29840967776,0.373265229421101,0.167593501583914,2.22720586355318,0.0259335184317055,0.313474285340487
s_Mycobacterium_abscessus_subgroup,2127.9520345133,0.17507593494,0.0827238844172012,2.1163891924736,0.0343117204907631,0.313474285340487
s_Mycobacterium_abscessus,2127.9520345133,0.17507593494,0.0827238844172012,2.1163891924736,0.0343117204907631,0.313474285340487
s_uncultured_Bacteroides_sp.,2034.7370520686,0.650251374136382,0.307909022183394,2.11182955772269,0.0347010710929563,0.313474285340487
s_Prochlorococcus_marinus,2147.33586859293,-0.328144342855023,0.131979657636404,-2.48632515594971,0.0129069976000458,0.313474285340487
s_Ramlibacter_tataouinensis,1939.80560628425,0.176269981534413,0.0787370715115943,2.23871650482272,0.0251743679338294,0.313474285340487
s_Pseudomonas_citronellolis,1894.16744931042,0.149266544998099,0.0661113226804314,2.25780606023605,0.0239577532383362,0.313474285340487
s_Lysobacter_antibioticus,1922.00843875082,0.413286552460209,0.173829223262479,2.37754357238399,0.0174283837573788,0.313474285340487
s_Chondromyces_crocatus,1885.62482831626,0.268812674472025,0.123694035857677,2.17320643318099,0.0297647838210876,0.313474285340487
s_Fibrobacter_succinogenes,1715.930783735,0.307065573519953,0.141378235267652,2.17194374324044,0.0298599064828625,0.313474285340487
s_Bordetella_hinzii,1687.14787344522,0.164180006154022,0.0773756944457751,2.12185502605187,0.0338499141372894,0.313474285340487
